Round;Step;Action;State;Observation;OsProb;Reward;Curr_rewards_discounted;Curr_rewards_undiscounted
0;69;0:a1;[ps_1:a77];[measurements:o48];0.0115835;0;1.61971;6.61
0;70;4:a5;[ps_1:a49];[measurements:o29];0.0132716;0.0421053;1.62087;6.65211
0;71;0:a1;[ps_1:a96];[measurements:o66];0.0179544;0;1.62087;6.65211
0;72;19:a20;[ps_1:a64];[measurements:o69];0.0189167;0.2;1.62585;6.85211
0;73;23:a24;[ps_1:a43];[measurements:o44];0.02997;0.24;1.63153;7.09211
0;74;7:a8;[ps_1:a32];[measurements:o40];0.020562;0.0736842;1.63318;7.16579
0;75;4:a5;[ps_1:a42];[measurements:o37];0.0363155;0.0421053;1.63408;7.20789
0;76;2:a3;[ps_1:a41];[measurements:o38];0.0361654;0.0210526;1.63451;7.22895
0;77;3:a4;[ps_1:a66];[measurements:o46];0.0180683;0.0315789;1.63512;7.26053
0;78;9:a10;[ps_1:a52];[measurements:o50];0.0277638;0.0947368;1.63685;7.35526
0;79;11:a12;[ps_1:a43];[measurements:o32];0.0312083;0.115789;1.63886;7.47105
0;80;2:a3;[ps_1:a73];[measurements:o58];0.0220754;0.0210526;1.63921;7.49211
0;81;15:a16;[ps_1:a92];[measurements:o71];0.0223086;0.157895;1.64169;7.65
0;82;25:a26;[ps_1:a75];[measurements:o55];0.0192328;0.26;1.64556;7.91
0;83;14:a15;[ps_1:a76];[measurements:o84];0.0164964;0.147368;1.64765;8.05737
0;84;27:a28;[ps_1:a71];[measurements:o51];0.0187137;0.28;1.65142;8.33737
0;85;12:a13;[ps_1:a46];[measurements:o50];0.0243724;0.126316;1.65303;8.46368
0;86;13:a14;[ps_1:a48];[measurements:o46];0.0300255;0.136842;1.65469;8.60053
0;87;10:a11;[ps_1:a32];[measurements:o30];0.0456139;0.105263;1.65591;8.70579
0;88;0:a1;[ps_1:a51];[measurements:o40];0.028361;0;1.65591;8.70579
0;89;6:a7;[ps_1:a76];[measurements:o43];0.00741225;0.0631579;1.65656;8.76895
1;0;0:a1;[ps_1:a13];[measurements:o9];0.106595;0;0;0
1;1;0:a1;[ps_1:a13];[measurements:o6];0.0163297;0;0;0
1;2;0:a1;[ps_1:a10];[measurements:o9];0.155096;0;0;0
1;3;0:a1;[ps_1:a11];[measurements:o11];0.114286;0;0;0
1;4;0:a1;[ps_1:a17];[measurements:o17];0.0769453;0;0;0
1;5;0:a1;[ps_1:a16];[measurements:o10];0.0607051;0;0;0
1;6;0:a1;[ps_1:a25];[measurements:o19];0.0579287;0;0;0
1;7;0:a1;[ps_1:a26];[measurements:o10];0.00127524;0;0;0
1;8;0:a1;[ps_1:a22];[measurements:o25];0.042386;0;0;0
1;9;0:a1;[ps_1:a23];[measurements:o16];0.0537875;0;0;0
1;10;0:a1;[ps_1:a30];[measurements:o32];0.0382983;0;0;0
1;11;0:a1;[ps_1:a56];[measurements:o47];0.0274551;0;0;0
1;12;4:a5;[ps_1:a52];[measurements:o59];0.0191901;0.0421053;0.022752;0.0421053
1;13;15:a16;[ps_1:a50];[measurements:o28];0.00994941;0.157895;0.103806;0.2
